Provider ID,Procedure codes/CPT Code,Billing frequency,Patient ID,Total amount,Doctor,Hospital,Diagnosis Report,Discharge Summary,Prescriptions and Bills,Hospital Bills,Insurance Company Name,Fraud history approval/rejection status,Contact Details,Network Partners,Benefits,Policy Number,Policy type,Renewal Date,Claim limits,Premium amount,Start Date,End Date,Bank Account,Policy Number (Claim),Policy Holder Name,Address,Phone Number,Email,Covered,Hospitalized Date,Treatment expenses,Claim Documents Submitted
25813f2b-f0a5-4b69-8d84-548aabceb606,CPT-67553,Annually,0e1e83f5-907b-4ea7-85ed-10b144b58fbc,98418,Dr. Robert Wilson,Williams Ltd,Best subject another area.,Level he agreement author challenge item buy. Bad make act change among president option.,Can member result though need peace entire.,92070,Jefferson LLC,Approved,+1-059-748-2089x458,Scott-Zamora,Crime year man.,98b50f4e-c8be-4b89-b0f1-298a919cf251,Individual,04/12/24,61241,613,13/09/23,18/10/25,GB69BXWA15355801648730,98b50f4e-c8be-4b89-b0f1-298a919cf251,Leslie Lewis,"0230 Vaughn Stream Suite 305
South Nicholasburgh, GA 44062",318.671.0132x09668,billy22@nelson.biz,No,30/05/23,3058,Yes
1d970062-8ce2-453e-9820-ae3c87bb28fd,CPT-61505,Annually,0580f1ca-ee31-4457-b5d6-bea90e6bc222,95580,Dr. Angelica Clark,Mitchell Ltd,Thank election surface garden beautiful nation.,Car executive its design part statement. She American still his million decision not.,I would entire cause machine throw growth.,7149,Leon Group,Approved,+1-336-280-4826x65415,Anderson Ltd,Speech on collection rather father.,b66d5980-5748-42bc-9ea1-93e75f8825dc,Corporate,13/02/24,70469,398,18/10/23,01/12/24,GB17NXJM22171161239623,b66d5980-5748-42bc-9ea1-93e75f8825dc,Valerie Williams,"252 Smith Creek
Murphyview, MT 34118",001-624-910-3604x4633,shannonmclean@gmail.com,No,17/03/22,4845,Yes
0e0ff810-6423-435b-aca1-6ab83178c499,CPT-65762,Monthly,336919ca-e1bc-43f6-bf42-0195dd6a2cf5,57623,Dr. Lynn Archer,Hill and Sons,Production each say less.,Remember throughout development eye simple growth consider.,Realize executive whom always over first one.,782,Garcia-Valencia,Rejected,001-091-772-2391x593,Walker-Roth,Rule entire woman.,52b846e3-6231-4273-be23-29408aa71209,Corporate,20/03/24,14661,500,12/05/22,09/01/25,GB24AHZC33252232577918,52b846e3-6231-4273-be23-29408aa71209,Kelly Lewis,"42696 Graves Land
West Tyler, VA 35073",001-953-335-5860x9464,ogonzalez@hotmail.com,No,13/06/23,7978,Yes
4b53256c-6026-41d6-bb7d-bf4a3282a8bb,CPT-43713,Quarterly,2f495bf0-e2f3-4799-a6fe-87453db985ff,3254,Dr. Amy Saunders,Rose-Vasquez,Choose no author activity bag first.,Ready Mrs type add technology. Industry vote partner.,Our term vote or.,43348,Powell Group,Rejected,001-094-370-1248x83640,Mckinney LLC,Tree computer.,f4832615-7638-4753-89da-6f2cab81db42,Individual,30/08/22,24410,149,07/07/22,20/03/23,GB82EXYS19044337607536,f4832615-7638-4753-89da-6f2cab81db42,John Andrews,"4338 Diane Loaf Suite 728
Hernandeztown, ND 09988",+1-940-381-1356x5761,zsimmons@anderson.com,No,05/10/24,8850,No
ab13b567-81a8-47f4-a738-3241f2ff0544,CPT-67928,Annually,68f1bcd6-0667-4e7b-a90a-b912dead1aec,49501,Dr. Daniel Jones,Bartlett-Hernandez,Happen should four board.,Sport school reflect.,Late everybody north develop her.,68865,Cruz LLC,Approved,107.967.4922,"Bell, Yoder and Coffey",Least tax north television.,a278c88b-9a3c-478b-b6fd-6d868270ce63,Individual,12/12/24,18656,751,05/04/24,24/12/24,GB69ZIQZ69050936088882,a278c88b-9a3c-478b-b6fd-6d868270ce63,David Nash,"4477 Brooke Mall Suite 376
Alexandriaville, MO 28763",157-280-7418,melissajenkins@benjamin.com,No,05/02/20,6605,No
ac1ada1a-b644-4c8c-99fb-50dc0c65d717,CPT-22262,Quarterly,c86c24b0-af1b-4a43-b0bf-549d8837695e,69524,Dr. Laura Lee,Norris-Bennett,Perhaps medical coach teach young life during.,Cover candidate two over quality option writer.,Main trip school scene.,2103,Willis Group,Rejected,001-227-599-4379x23966,Pacheco Inc,Result also must style.,918717cd-2318-4adf-b53f-a4b56fe4823b,Family,08/03/25,87965,838,01/01/25,28/01/26,GB16VURP85417827422573,918717cd-2318-4adf-b53f-a4b56fe4823b,Lorraine Murphy,"2060 Flores Grove
Meganport, NC 78703",574.257.3864x85860,staylor@hotmail.com,No,18/09/22,4541,Yes
10937eca-c9d7-4de3-a7ff-fc22f74f9f4c,CPT-78688,Monthly,894f6ae8-0c4f-4096-8e61-2ebabb4cd052,38744,Dr. William Tanner,"Becker, Martin and Campbell",Air least attack smile assume.,Throughout go what reduce reason. Ago analysis from candidate situation save.,Concern Mr meet born exist argue feel likely.,91705,"Lowery, Smith and Wilson",Approved,411-021-6207x322,Ponce Group,Best process.,9a708560-faa7-4a2d-bea3-16adac8c626b,Individual,03/01/25,625,6,25/04/24,28/03/25,GB36FVZP47365251718757,9a708560-faa7-4a2d-bea3-16adac8c626b,Sheila Gilbert,"4173 Brown Track
Port Tammieport, NJ 20960",+1-931-318-7579x881,kaylairwin@jackson.biz,No,04/08/24,6708,Yes
1b13925a-0d91-4551-9aa4-172050410be0,CPT-97767,Monthly,12a7f314-c603-4538-bc16-000938ec1bca,55757,Dr. Meghan Clayton,Byrd Group,Cold such goal star development always player whose.,Five there thank mouth ability truth modern community.,Pressure the nature heart add.,85817,Barker-Edwards,Rejected,001-284-186-5000x12162,"Flowers, Guzman and Jensen",Because bank purpose standard.,4e2cef62-aece-4301-9144-00936db26a7d,Family,29/05/24,22547,673,28/08/22,26/12/24,GB21KHZU19727335409550,4e2cef62-aece-4301-9144-00936db26a7d,Tracy Gonzalez,"330 Megan Flats
Morganmouth, OK 44500",-4815,brownjames@yahoo.com,Yes,11/02/24,5237,No
a56af9a5-c435-4baf-a3df-ac2839939c5a,CPT-19026,Monthly,cf21d7f7-8932-43d3-b336-79de16d98309,58280,Dr. Adam Hernandez,Arnold-Scott,To simple down three final.,Speech decide between ever tell better stuff.,Treatment despite research book idea mouth.,26041,Davis Ltd,Rejected,314.707.6147,Chung-Phillips,Attorney argue action exactly.,49caefca-694b-49f0-b14d-393cb208646b,Individual,28/08/24,51539,545,25/07/24,15/02/25,GB41FZSL33425652074156,49caefca-694b-49f0-b14d-393cb208646b,Melanie Rodgers,"80946 Russell Greens
South Allisonshire, AR 85146",612-326-6278x5022,wmartinez@hotmail.com,Yes,31/08/23,2322,Yes
1c6e1c89-dd18-44a3-ab76-65eb5bebd8ec,CPT-45933,Annually,a7f8bce5-176f-4f35-963a-8048a12b65f7,10161,Dr. Gary Morris,Walsh Group,Unit surface system score conference few.,Stuff military military fact speak especially door prove. Fact money onto stand develop city.,Large character glass shake hold large.,42859,"Luna, Parker and Lopez",Approved,001-012-600-6197x72397,Matthews Group,East fear consumer.,4cb76484-d9f4-46dc-998b-3b7d060acdac,Corporate,18/05/23,46499,36,07/06/22,17/06/23,GB22WTWI36155920497446,4cb76484-d9f4-46dc-998b-3b7d060acdac,Christine Gill,"Unit 9252 Box 6241
DPO AE 73310",821.944.3132x978,bowmandavid@hotmail.com,No,07/05/20,5474,No
